ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05416	Viral myocarditis	37/2265	67/8662	3.855419780598525e-7	9.30808489887358e-6	5.85559996752558e-6	959/71/3383/3134/958/941/942/857/1604/3109/3683/842/637/1525/3689/54205/3908/60/3135/1837/3133/859/3105/2534/3107/6645/3123/8082/4624/6443/3127/6641/3106/595/3108/102723407/4625	37
hsa04064	NF-kappa B signaling pathway	51/2265	104/8662	4.167783560564835e-7	9.391405623139429e-6	5.908015994625241e-6	4792/598/7128/959/3383/4791/7185/5328/4049/3932/8837/958/8792/5335/4616/4790/329/8737/9020/8717/6850/7124/5579/84433/597/29760/128178/148022/7186/6351/1459/3553/1647/3576/7412/115650/5588/79092/27040/4615/5743/29775/388372/1896/3554/472/8600/6363/6357/10912/102723407	51
hsa05205	Proteoglycans in cancer	85/2265	205/8662	1.004131712567879e-6	2.1212282427996442e-5	1.3344381969652076e-5	6714/71/960/355/1026/5328/5291/5962/2260/5747/6385/2817/5604/2317/2017/51384/1278/5578/7040/2535/5335/1277/2335/3688/6608/117581/3710/816/857/5058/7480/2318/3236/5600/5293/6237/6382/7124/5579/815/4313/6548/7471/286/5567/288/3339/5605/1839/6774/7855/2065/7422/51196/3678/7482/3845/54361/6383/8321/7481/60/7477/859/3593/4087/7157/3693/5329/7057/8322/7074/1975/7474/387/7976/595/7042/7483/7291/2099/8503/8324/858/356	85
hsa05146	Amoebiasis	49/2265	102/8662	1.5127820392195724e-6	3.0077666426836204e-5	1.8921484329557502e-5	87/5291/5747/2776/3684/1278/5578/7040/1277/5331/4790/2335/3911/3912/5332/1437/5293/7124/81/5579/5567/912/3569/2778/3689/3553/3592/3908/3914/3576/3593/913/3586/910/1287/5269/1284/338382/2769/10319/3918/3554/107/7850/1285/7042/102723407/9630/8503	49
hsa04933	AGE-RAGE signaling pathway in diabetic complications	48/2265	100/8662	1.9883031859584734e-6	3.733591538077578e-5	2.3487558103135186e-5	3383/5291/3725/6776/1278/5578/7048/7040/5335/1277/5331/4790/2335/1958/5332/5581/6777/5600/5293/7124/5579/4313/5333/1906/3569/6774/7422/7423/2308/27035/51196/5054/3845/3553/6347/3552/4088/3576/7412/4087/1287/1284/2152/595/1285/7056/7042/8503	48
hsa05165	Human papillomavirus infection	123/2265	331/8662	4.645231669840285e-6	8.263622654768507e-5	5.198541813339267e-5	5315/355/1026/5291/122011/3516/5747/3134/1452/10312/5604/7337/3695/51384/1278/9641/7297/3955/2535/1277/4790/2335/155066/3679/3688/3675/6934/3911/8717/3371/3912/6932/3280/7480/5528/5293/5520/23545/5525/7124/84441/55534/84667/90993/7471/245973/5567/5526/1021/27175/23352/898/894/148022/5523/7283/5605/7855/7422/2778/2308/3678/7249/7482/3845/3655/54361/8321/1291/3672/3908/7481/1869/3696/7477/3135/1740/3133/1293/1311/3914/1292/3105/3680/83439/3107/182/890/7157/7058/1287/3693/1284/23462/7098/4600/9134/9586/57801/7057/5743/10319/8322/3918/92359/7148/7474/1280/6696/3106/472/7143/7976/595/5522/1285/7483/3674/8503/8324/3676/3691/356	123
hsa04015	Rap1 signaling pathway	84/2265	210/8662	6.428517846661972e-6	1.086419516085873e-4	6.83452950013536e-5	6714/71/57121/5291/2260/9732/5154/10235/2776/5604/3684/260425/5906/5578/5335/5331/5909/5216/112/3688/5332/2775/1942/1946/1902/2263/5600/4254/5293/1398/6237/4804/5579/64411/284/3683/2889/5899/2902/5155/5605/2253/7422/2778/7423/1944/3689/1435/136/51196/83660/3845/23094/11069/60/5156/2261/23683/1969/5228/5900/3643/111/56034/5608/109/8817/27040/2904/7057/7074/3815/2149/2533/107/387/805/2324/115/3674/999/80310/8503/5587	84
hsa04210	Apoptosis	59/2265	136/8662	8.613771131378094e-6	1.3545495542858406e-4	8.521302085510428e-5	4792/598/71/355/7185/5291/27429/3725/153090/1520/84823/8837/112714/84790/5604/8722/4616/4790/329/7846/8737/9020/4000/3710/8717/7278/5293/8795/7124/597/5414/5783/842/1519/7186/5605/637/1677/468/54205/8739/3845/3002/1647/3563/60/1512/840/332/8743/2021/7157/4914/1508/472/10912/2353/8503/356	59
hsa04940	Type I diabetes mellitus	25/2265	43/8662	8.816594732038016e-6	1.3545495542858406e-4	8.521302085510428e-5	355/4049/3134/941/942/5798/7124/3109/1363/3553/3592/3002/3135/3552/3133/3105/3107/3593/3123/5799/3127/3106/3382/3108/356	25
hsa04261	Adrenergic signaling in cardiomyocytes	65/2265	154/8662	9.251743695700958e-6	1.3596040735421407e-4	8.553099434927202e-5	7168/55799/2776/5578/5331/112/154/5332/776/816/783/64091/5600/5528/5520/5525/784/90993/815/23533/481/6548/5567/5526/7139/493/5523/9252/7169/2778/468/480/147/11069/6262/59284/7171/482/782/486/93589/111/4633/109/477/153/4624/59283/9586/6546/3784/6547/6330/27092/146850/107/102723475/805/5522/491/781/4634/115/4625/3753	65
hsa04668	TNF signaling pathway	51/2265	114/8662	1.2327766511613656e-5	1.73616045038559e-4	1.0921968576078766e-4	4792/7128/355/3383/9021/7185/5291/4049/3725/153090/8837/5604/64127/6416/4790/329/8737/9020/8717/1437/5600/5293/6376/7124/90993/4323/197259/1051/11035/9252/3600/7186/6352/1906/3569/468/1435/3976/3553/1326/840/6347/7412/182/5608/9586/5743/6364/2353/8503/8809	51
hsa04148	Efferocytosis	65/2265	156/8662	1.5303103009962274e-5	2.0689795269468992e-4	1.301569182321002e-4	100133941/5175/5747/80824/29933/5604/1788/140885/2621/10461/4035/7040/1846/5087/1850/5468/816/23411/5600/8578/23659/1847/6376/1398/815/50636/1849/1051/7301/23250/4953/84466/23166/7376/5605/3988/6446/5029/575/558/126129/840/9844/1793/8877/338440/4776/389668/3586/3693/51454/55576/714/1901/338382/5732/8754/7057/5743/51761/246/84465/114786/343702/948	65
hsa04072	Phospholipase D signaling pathway	62/2265	148/8662	1.957307228480335e-5	2.498192632355143e-4	1.5715817867821208e-4	55326/2185/56894/57121/5291/1759/5154/5604/5578/5335/5331/112/8395/5338/5332/1902/1608/4254/5293/6850/6237/553/23533/5899/5155/5605/9846/2778/27128/6464/9265/7249/3845/11069/5156/551/8877/3576/2534/8613/5900/3643/111/56034/109/2205/2918/3815/146850/2149/107/5337/387/160851/8605/1607/102723407/115/5737/80310/8503/2915	62
hsa00380	Tryptophan metabolism	24/2265	42/8662	1.9955976648990787e-5	2.498192632355143e-4	1.5715817867821208e-4	259307/224/847/8942/23498/39/121278/55526/130013/4128/3620/8564/1962/501/125061/217/316/169355/15/1543/4129/1545/26/883	24
hsa05144	Malaria	27/2265	50/8662	2.4920677136394406e-5	3.0082817400361816e-4	1.8924724742675454e-4	959/3383/2995/5175/958/4035/7040/6382/7124/3683/3569/3689/3553/3592/6383/6347/1311/3576/7412/3586/7058/1378/4615/7057/3820/7042/948	27
hsa05330	Allograft rejection	22/2265	38/8662	3.35001386219604e-5	3.9044989152491776e-4	2.4562715069459173e-4	959/355/3134/958/941/942/7124/3109/3592/3002/3135/3133/3105/3107/3593/3586/3123/3127/3106/3108/102723407/356	22
hsa04360	Axon guidance	72/2265	182/8662	4.452011932427203e-5	5.015933443867982e-4	3.155461088948404e-4	8482/6714/8633/5291/54910/5747/6092/23654/5578/4756/5335/5361/23380/3688/151449/6585/6608/57522/2050/816/1942/1946/5058/8440/9037/9353/5293/1808/6237/10398/22885/56963/1073/815/2051/10500/9901/10509/2047/2049/6405/85464/10154/84628/25791/1944/9423/5998/3845/1947/57689/5362/54361/1969/10501/2534/4776/1630/3897/90249/106821730/7852/2048/7474/22854/387/7976/6586/9723/2043/91653/8503	72
hsa04060	Cytokine-cytokine receptor interaction	108/2265	297/8662	5.0908022701962646e-5	5.550616668794637e-4	3.491823628453805e-4	6367/959/3604/355/7292/4049/7293/6361/1236/9466/10148/11009/958/8792/7048/7040/50615/3594/8784/970/2690/1233/151449/84957/23495/3597/9235/8764/3601/1437/6376/8795/7124/4804/5008/3953/3587/92/57007/3559/3600/6352/3569/6351/8200/3556/83729/3557/1435/943/3976/939/3624/6346/55504/3553/3592/3459/3563/1271/8743/6347/3552/8793/93/3576/1438/2833/3581/115650/6362/29949/3626/3593/3595/3586/27302/130399/10563/6368/1441/6364/6369/3575/7852/94/388372/1896/3554/8718/3596/53342/8600/6375/8794/7850/6363/6357/58191/7042/51561/56300/4838/8809/64109/8807/356/1232	108
hsa05142	Chagas disease	45/2265	102/8662	5.981842902335579e-5	6.318321565591955e-4	3.9747771916835104e-4	4792/355/5291/3725/8837/2776/6416/7048/7040/5331/4790/5332/2775/5600/5293/5520/7124/148022/1636/6352/3569/2778/5054/3553/3592/3459/6347/3576/3593/4087/3586/714/2769/916/4615/919/917/107/5522/915/7042/2353/9630/8503/356	45
hsa04218	Cellular senescence	63/2265	156/8662	6.403741257203864e-5	6.558983469499715e-4	4.1261745899686785e-4	1026/291/5291/28996/3134/7416/5604/7048/7040/4616/4790/3710/2113/776/23411/1030/5600/5293/6237/678/7417/1021/898/894/5605/3569/891/2308/7249/5054/3845/1647/91750/1869/293/2305/3135/3552/3133/4088/3576/3105/1874/4776/11200/3107/4087/890/9133/7157/5608/983/9134/4605/3106/472/805/595/10912/144715/7042/8503/3486	63
hsa04540	Gap junction	40/2265	88/8662	6.734986962086126e-5	6.695369391720914e-4	4.2119732704068045e-4	6714/347733/5154/7280/112714/84790/203068/2776/5604/5578/5331/112/7846/84617/3710/7278/5332/1902/1453/2697/5579/5567/347688/5155/5605/2778/10382/3845/5156/5593/111/56034/109/983/153/2983/107/115/80310/2915	40
hsa05143	African trypanosomiasis	21/2265	37/8662	7.557105629099061e-5	7.298004864672807e-4	4.5910837205353697e-4	355/3383/2776/5578/5331/5332/7124/5579/7064/8542/3569/3620/3553/3592/7412/3593/3586/4615/169355/102723407/356	21
hsa04921	Oxytocin signaling pathway	62/2265	154/8662	8.123062009342087e-5	7.626652664326738e-4	4.797831947038309e-4	6714/71/1026/3725/55799/29904/4882/2776/5604/5578/5331/112/3710/5332/2775/776/816/783/4881/3759/10398/784/5579/4638/815/23533/5567/5997/5605/2778/5020/57172/57118/3845/6262/60/59284/140465/782/4776/93589/111/109/2983/59283/952/5743/6261/814/27092/146850/107/85366/387/340156/805/595/8605/2353/781/115/3761	62
hsa05222	Small cell lung cancer	41/2265	92/8662	9.523334359794277e-5	8.699694631379637e-4	5.472869248018333e-4	4792/598/1026/7185/5291/2272/5747/4616/4790/2335/329/1164/3688/3675/3911/3912/1030/5293/1021/898/842/7186/5915/54205/3655/1647/3908/1869/3914/7157/1287/1284/9134/5743/10319/3918/595/1285/10912/3674/8503	41
hsa04926	Relaxin signaling pathway	53/2265	129/8662	1.4099555451352019e-4	0.001254118353304469	7.889501942307779e-4	4792/94235/6714/5291/3725/2787/5604/6416/1278/5578/7048/7040/1277/5331/4790/112/2783/10681/5332/2775/2792/5600/5293/90993/4313/5567/5605/1906/7422/2778/468/7423/6464/4312/3845/54331/4087/111/1287/109/1284/2769/9586/2791/59/107/1285/2353/115/408/8503/3640/2788	53
hsa05321	Inflammatory bowel disease	31/2265	65/8662	1.471723806863367e-4	0.0012754939659482512	8.023973251994605e-4	3725/64127/7040/50615/3594/4790/6097/7124/3109/3569/6774/3553/3592/3459/3552/4088/3593/4087/3595/3586/3123/2625/6775/3127/3596/4094/7042/51561/3108/8809/8807	31
hsa04020	Calcium signaling pathway	91/2265	253/8662	3.0009185933066576e-4	0.0025357762113441254	0.001595225146968276	2185/291/2260/5154/7416/2776/5578/5335/80228/5331/154/3710/5332/776/816/53373/2263/10800/5255/3707/5257/553/5579/4638/5027/815/7417/8913/5567/5979/493/444/2902/5333/5155/2253/2065/5025/7422/2778/7423/57172/57118/136/4486/51196/147/6262/5156/2261/293/8877/1139/3706/4776/844/56034/4914/109/7039/8817/153/777/2769/8911/2904/952/6915/6546/2906/7852/6261/6547/814/2149/107/85366/340156/805/2324/491/5260/6865/102723407/115/9630/57105/5737/80310/2915/4923	91
hsa05169	Epstein-Barr virus infection	75/2265	202/8662	3.373745778559298e-4	0.002781283105251324	0.0017496704679562988	7431/4792/7128/960/355/3383/1026/2208/4791/5291/3516/864/3725/3134/4734/958/6416/9641/7297/4616/4790/8737/5717/9020/8717/3280/3718/5600/5293/79685/6850/965/7124/29760/7979/10213/8819/3109/3683/1021/898/894/842/7186/3569/6774/637/54205/9612/1647/1869/3135/3133/3105/3107/930/890/7157/5608/3123/9134/916/4615/919/917/3127/3106/595/915/10912/953/3108/102723407/8503/4940	75
hsa05163	Human cytomegalovirus infection	82/2265	225/8662	3.6466556558333e-4	0.00293468955159918	0.0018461765475647285	4792/94235/6714/2185/355/1026/5291/5747/3134/2787/2776/5604/5578/5331/4790/112/2783/8737/10681/3710/8717/5332/2775/2792/5600/5293/6376/1398/115004/7124/5579/90993/3587/5567/1021/842/7186/5605/6352/3569/6351/6774/637/7422/2778/468/54205/7249/3845/3553/9826/1869/5156/3135/6347/54331/3133/3576/3105/4776/3107/7157/111/5608/109/9586/2791/5732/5743/7852/388372/3554/3106/107/387/805/595/115/8503/2788/356/1232	82
hsa04713	Circadian entrainment	41/2265	97/8662	3.833154926838013e-4	0.0030130380587703454	0.0018954646149847707	94235/2787/2776/5578/5331/112/2783/10681/3710/5332/2775/776/816/2792/5579/815/8913/5567/9252/2902/2778/6262/5593/54331/111/109/2983/8911/2904/2791/2906/6261/9722/107/805/2353/5187/115/51655/2893/2788	41
hsa04810	Regulation of actin cytoskeleton	83/2265	229/8662	4.120023087586172e-4	0.003164926826373014	0.001991015941847863	6714/71/57121/87/5291/2245/5962/2260/5747/28984/5154/10109/5604/3695/3684/81624/2335/5216/3679/3688/9459/3675/8395/10787/4629/5058/1902/7114/23191/2263/8976/5293/1398/6237/10398/2934/81/4638/1073/6548/3683/85464/727/1730/5155/5605/9087/2253/8874/89846/3689/3678/3845/3655/3672/60/5156/2261/1793/3696/4627/3680/56034/4633/3693/8936/10458/8817/4628/10788/106821730/7852/7074/2149/85366/387/340156/3674/80310/8503/29895/3676/3691	83
hsa04978	Mineral absorption	28/2265	60/8662	4.762686330634966e-4	0.003414463686605133	0.002147996464323379	3162/7779/7421/3163/481/79901/493/480/4891/4494/482/486/540/115019/55630/4495/477/4493/4502/65010/6546/1811/6547/491/6550/2495/30061/4496	28
hsa04725	Cholinergic synapse	46/2265	113/8662	4.8353304426112533e-4	0.003414463686605133	0.002147996464323379	94235/5291/2787/2776/5604/5578/5331/112/2783/10681/3710/5332/2775/776/816/43/2792/5293/3759/5579/90993/815/23533/8973/5567/468/3845/54331/1139/2534/56479/111/109/9586/2791/3784/1141/814/146850/107/2353/3786/115/8503/2788/3761	46
hsa04672	Intestinal immune network for IgA production	24/2265	49/8662	4.940091479955026e-4	0.003414463686605133	0.002147996464323379	959/102723996/57379/958/941/3695/942/7040/9020/23495/3601/3109/3600/3569/5284/115650/3586/3123/7852/3127/29851/3108/102723407/3676	24
hsa04916	Melanogenesis	42/2265	101/8662	4.94920985517078e-4	0.003414463686605133	0.002147996464323379	2776/5604/51384/5578/2535/5331/112/6934/5332/6932/2775/816/7480/4254/5579/90993/815/7471/5567/5605/1906/7855/2778/7482/3845/54361/8321/7481/7477/4286/83439/111/109/8322/3815/7474/107/805/7976/7483/115/8324	42
hsa04925	Aldosterone synthesis and secretion	41/2265	98/8662	4.949962149220459e-4	0.003414463686605133	0.002147996464323379	2776/5578/5331/112/3710/5332/776/816/5581/4881/5579/90993/815/481/8913/5567/949/747/493/2778/468/3777/480/57172/57118/23683/482/6770/111/109/477/3949/8911/9586/814/107/3164/805/491/115/5587	41
hsa04390	Hippo signaling pathway	60/2265	157/8662	5.481932625699222e-4	0.003635361955084596	0.0022869608063752368	71/7531/51384/4092/7533/7048/7040/154796/2535/25937/329/151449/6934/7159/6932/1742/3398/7480/1453/7003/5520/7471/10413/6788/894/9231/7855/8200/3689/85407/7482/5054/54361/4086/8321/7481/60/332/7477/1740/4088/7005/122786/83439/4087/6591/7161/7004/8322/2736/7474/286204/7976/595/5522/7042/7483/999/8324/166824	60
hsa04062	Chemokine signaling pathway	71/2265	192/8662	5.485309458855455e-4	0.003635361955084596	0.0022869608063752368	4792/6367/94235/6714/2185/5291/6361/5747/1236/2268/10235/2787/2776/5604/5906/5335/5331/4790/112/1233/2869/2783/10681/5332/2792/5058/6777/3718/5293/6376/1398/5579/23533/5567/3055/6352/6351/6774/6464/6346/3845/9844/6347/54331/3576/2833/6362/111/10563/3702/109/6368/2791/6364/6369/7852/7074/388372/146850/107/6375/387/6363/6357/58191/115/653361/408/8503/2788/1232	71
hsa04371	Apelin signaling pathway	54/2265	139/8662	6.445221021461387e-4	0.004068092282273182	0.0025591860511341726	94235/2787/2776/5604/5331/112/1958/2783/10681/3710/84557/5332/2792/5581/6237/4638/23533/10891/6548/5567/10365/4209/5605/7019/5054/3845/6262/5327/54331/8877/4088/182/4087/111/4633/109/2791/59/6546/6261/6547/814/6696/146850/107/85366/340156/805/5346/595/4634/115/999/2788	54
hsa05418	Fluid shear stress and atherosclerosis	54/2265	139/8662	6.445221021461387e-4	0.004068092282273182	0.0025591860511341726	6714/71/3383/5291/5175/3725/5747/5154/3162/6385/2817/7295/6416/4790/445/857/5600/5293/1535/6382/7124/4313/10365/92/2941/5155/1906/7422/1728/27035/4259/3553/6383/1843/60/5327/6347/3552/4257/93/859/7412/7157/5608/3554/387/805/7850/7056/2353/653361/3674/8503/858	54
hsa04814	Motor proteins	71/2265	193/8662	6.499319030850645e-4	0.004068092282273182	0.0025591860511341726	71/7168/347733/10749/7280/112714/84790/4641/203068/56992/4647/7846/84617/64837/4629/7278/64005/10398/9585/9493/10120/53904/27175/7139/347688/1768/23303/1778/4642/7283/7169/399687/10382/3835/60/10540/3833/4627/24137/4646/55582/7140/140465/22989/147700/7171/201625/8632/285643/1769/4633/127602/4624/4628/140469/59/3798/4645/4430/64446/23026/547/9928/72/3801/4634/4648/4625/55567/29895/1062	71
hsa04934	Cushing syndrome	59/2265	155/8662	6.827651122247315e-4	0.0041959019623992585	0.0026395895247731246	1026/2776/5604/51384/5906/2535/5087/5331/112/6934/3710/5332/6932/776/816/7480/1030/90993/815/7471/2516/8913/5567/949/1021/898/5605/54554/7855/2778/468/3777/50940/7482/54361/8321/7481/1869/7477/57552/6770/83439/111/109/196/9134/3949/8911/9586/8322/7474/107/3164/7976/595/7483/115/51655/8324	59
hsa04928	Parathyroid hormone synthesis, secretion and action	43/2265	106/8662	7.933199887407473e-4	0.004788252789185225	0.0030122300324366726	1026/2260/860/2776/5604/5578/5331/112/1958/5338/3710/5142/5332/7421/4040/5579/1594/90993/4323/5567/4209/5141/1839/2778/4041/468/5144/4326/9826/9935/846/111/109/9586/2625/64386/107/8600/5337/387/2353/115/408	43
hsa05135	Yersinia infection	53/2265	137/8662	8.079308330542577e-4	0.0047908880977603355	0.0030138878721506935	4792/6714/2185/71/5291/3932/3725/5747/10109/2776/5604/6416/5335/4790/2335/3688/8395/29108/8976/5600/5293/1398/391/7124/64283/148022/7186/5605/3569/8874/3678/58484/3553/60/9844/1793/6347/3576/925/3586/5608/10458/27040/4615/926/27330/2533/387/2353/102723407/8503/3676/927	53
hsa04068	FoxO signaling pathway	51/2265	131/8662	8.495815443607814e-4	0.00495100968955076	0.0031146183658961493	1026/5291/5604/847/7048/7040/5347/4616/2290/664/23710/9455/10733/23411/1030/5600/5293/8698/10365/23678/901/894/604/5605/3569/6774/6446/3667/891/2308/3845/1647/8743/1263/4088/10769/9133/3643/3586/9454/1901/80854/3575/114907/472/595/10912/7042/8503/100132074/356	51
hsa04658	Th1 and Th2 cell differentiation	38/2265	92/8662	0.0010469870638847513	0.005919807441757641	0.0037240769331518013	4792/3516/3932/864/3725/6776/7297/3594/5335/4790/6777/3718/5600/84441/55534/3109/3559/3592/3459/3714/182/3593/5588/54567/3595/3123/27040/916/2625/6775/919/917/3127/3596/4094/915/2353/3108	38
hsa04911	Insulin secretion	36/2265	86/8662	0.0010508533920279835	0.005919807441757641	0.0037240769331518013	3780/2776/5578/5331/112/3710/5332/776/816/5579/3767/90993/815/481/5567/3783/54795/2778/468/480/11069/6262/2645/482/486/111/109/477/3782/9586/6833/107/27094/5864/115/6804	36
